GEO_ID,NAME,S1901_C01_001E,S1901_C01_012E,S1901_C01_013E
Geography,Geographic Area Name,Estimate!!Households!!Total,Estimate!!Households!!Median income (dollars),Estimate!!Households!!Mean income (dollars)
8600000US40448,ZCTA5 40448,14,-,N
8600000US40456,ZCTA5 40456,3974,36875,54224
8600000US40460,ZCTA5 40460,480,43750,51849
8600000US40461,ZCTA5 40461,1248,59821,67315
8600000US40464,ZCTA5 40464,498,56389,60232
8600000US40468,ZCTA5 40468,736,52127,65041
8600000US40472,ZCTA5 40472,792,33269,43551
8600000US40475,ZCTA5 40475,23722,52109,71993
8600000US40481,ZCTA5 40481,33,-,43930
8600000US40484,ZCTA5 40484,4730,43326,59663
8600000US40486,ZCTA5 40486,1020,56203,59742
8600000US40489,ZCTA5 40489,1527,44718,52348
8600000US40502,ZCTA5 40502,12763,67449,118359
8600000US40503,ZCTA5 40503,12314,64054,84073
8600000US40504,ZCTA5 40504,11493,38634,53428
8600000US40505,ZCTA5 40505,10828,43305,55717
8600000US40506,ZCTA5 40506,0,-,-
8600000US40507,ZCTA5 40507,1271,31146,73865
8600000US40508,ZCTA5 40508,9615,28850,45375
8600000US40509,ZCTA5 40509,17069,79977,107533
8600000US40510,ZCTA5 40510,465,131549,148813
8600000US40511,ZCTA5 40511,12555,66188,83663
8600000US40513,ZCTA5 40513,4564,106195,142469
8600000US40514,ZCTA5 40514,6041,85119,105668
8600000US40515,ZCTA5 40515,14462,78366,108170
8600000US40516,ZCTA5 40516,1372,77717,97094
8600000US40517,ZCTA5 40517,16644,46696,61136
8600000US40601,ZCTA5 40601,21652,59397,74774
8600000US40604,ZCTA5 40604,0,-,-
8600000US40701,ZCTA5 40701,11098,45743,63967
8600000US40729,ZCTA5 40729,2091,32813,49409
8600000US40734,ZCTA5 40734,1365,30237,36474
8600000US40737,ZCTA5 40737,443,61157,87171
8600000US40740,ZCTA5 40740,1284,47174,49895
8600000US40741,ZCTA5 40741,9281,43935,62820
8600000US40743,ZCTA5 40743,45,-,53780
8600000US40744,ZCTA5 40744,6584,50252,62301
8600000US40759,ZCTA5 40759,976,-,38670
8600000US40763,ZCTA5 40763,215,19813,32151
8600000US40769,ZCTA5 40769,5953,38780,50782
8600000US40771,ZCTA5 40771,706,32199,30817
8600000US40801,ZCTA5 40801,176,26667,48313
8600000US40806,ZCTA5 40806,1042,46000,62543
8600000US40807,ZCTA5 40807,125,50536,52798
8600000US40808,ZCTA5 40808,18,-,53344
8600000US40810,ZCTA5 40810,432,27125,39597
8600000US40813,ZCTA5 40813,154,33281,37576
